alpha,beta,model_name,k,accuracy,correct,total,time_sec
0.1,0.9,mistralai/mistral-7b-chat,5,0.7720547945205479,8454,10950,6.71662712097168
0.1,0.9,mistralai/mistral-7b-chat,10,0.8074885844748858,8842,10950,6.544539928436279
0.1,0.9,mistralai/mistral-7b-chat,40,0.848310502283105,9289,10950,7.215094089508057
0.1,0.9,WizardLM/WizardLM-13B-V1.2,5,0.7729680365296804,8464,10950,6.922583103179932
0.1,0.9,WizardLM/WizardLM-13B-V1.2,10,0.8087671232876712,8856,10950,6.559532642364502
0.1,0.9,WizardLM/WizardLM-13B-V1.2,40,0.8472146118721461,9277,10950,6.866521120071411
0.1,0.9,mistralai/mixtral-8x7b-chat,5,0.7753424657534247,8490,10950,6.37397575378418
0.1,0.9,mistralai/mixtral-8x7b-chat,10,0.8105022831050228,8875,10950,6.3514790534973145
0.1,0.9,mistralai/mixtral-8x7b-chat,40,0.8478538812785388,9284,10950,6.821426868438721
0.1,0.9,zero-one-ai/Yi-34B-Chat,5,0.7859360730593608,8606,10950,6.385420083999634
0.1,0.9,zero-one-ai/Yi-34B-Chat,10,0.8212785388127853,8993,10950,6.452868223190308
0.1,0.9,zero-one-ai/Yi-34B-Chat,40,0.8531506849315068,9342,10950,6.627382040023804
0.1,0.9,claude-instant-v1,5,0.7710502283105023,8443,10950,6.419903993606567
0.1,0.9,claude-instant-v1,10,0.8072146118721462,8839,10950,6.479824066162109
0.1,0.9,claude-instant-v1,40,0.8479452054794521,9285,10950,7.051368951797485
0.1,0.9,gpt-3.5-turbo-1106,5,0.781095890410959,8553,10950,6.498114824295044
0.1,0.9,gpt-3.5-turbo-1106,10,0.8092237442922374,8861,10950,6.4146130084991455
0.1,0.9,gpt-3.5-turbo-1106,40,0.8484931506849315,9291,10950,6.917398929595947
0.1,0.9,gpt-4-1106-preview,5,0.7899543378995434,8650,10950,6.499309062957764
0.1,0.9,gpt-4-1106-preview,10,0.8177168949771689,8954,10950,6.712716102600098
0.1,0.9,gpt-4-1106-preview,40,0.8526940639269407,9337,10950,6.962959051132202
0.1,0.9,meta/llama-2-70b-chat,5,0.7731506849315068,8466,10950,6.51956582069397
0.1,0.9,meta/llama-2-70b-chat,10,0.811324200913242,8884,10950,6.513655662536621
0.1,0.9,meta/llama-2-70b-chat,40,0.8484018264840183,9290,10950,6.901870012283325
0.1,0.9,meta/code-llama-instruct-34b-chat,5,0.7726940639269406,8461,10950,7.276933908462524
0.1,0.9,meta/code-llama-instruct-34b-chat,10,0.8082191780821918,8850,10950,7.226496696472168
0.1,0.9,meta/code-llama-instruct-34b-chat,40,0.8453881278538813,9257,10950,7.655797958374023
0.1,0.9,claude-v1,5,0.7738812785388128,8474,10950,6.788819074630737
0.1,0.9,claude-v1,10,0.8117808219178082,8889,10950,6.748863935470581
0.1,0.9,claude-v1,40,0.8488584474885845,9295,10950,7.04603385925293
0.1,0.9,claude-v2,5,0.782283105022831,8566,10950,6.531937837600708
0.1,0.9,claude-v2,10,0.8105022831050228,8875,10950,6.606144189834595
0.1,0.9,claude-v2,40,0.8491324200913242,9298,10950,7.1248462200164795
0.3,0.7,mistralai/mistral-7b-chat,5,0.7736073059360731,8471,10950,6.6011857986450195
0.3,0.7,mistralai/mistral-7b-chat,10,0.8071232876712329,8838,10950,6.6272132396698
0.3,0.7,mistralai/mistral-7b-chat,40,0.8494977168949772,9302,10950,7.223180055618286
0.3,0.7,WizardLM/WizardLM-13B-V1.2,5,0.7726027397260274,8460,10950,6.505072116851807
0.3,0.7,WizardLM/WizardLM-13B-V1.2,10,0.8103196347031963,8873,10950,6.583188056945801
0.3,0.7,WizardLM/WizardLM-13B-V1.2,40,0.848310502283105,9289,10950,7.219151258468628
0.3,0.7,mistralai/mixtral-8x7b-chat,5,0.776986301369863,8508,10950,6.509732961654663
0.3,0.7,mistralai/mixtral-8x7b-chat,10,0.8100456621004566,8870,10950,6.75283408164978
0.3,0.7,mistralai/mixtral-8x7b-chat,40,0.8484018264840183,9290,10950,7.146092176437378
0.3,0.7,zero-one-ai/Yi-34B-Chat,5,0.7878538812785388,8627,10950,6.63147497177124
0.3,0.7,zero-one-ai/Yi-34B-Chat,10,0.8238356164383561,9021,10950,6.902108907699585
0.3,0.7,zero-one-ai/Yi-34B-Chat,40,0.853607305936073,9347,10950,7.191011190414429
0.3,0.7,claude-instant-v1,5,0.7734246575342466,8469,10950,6.708775997161865
0.3,0.7,claude-instant-v1,10,0.8096803652968037,8866,10950,6.795297861099243
0.3,0.7,claude-instant-v1,40,0.8481278538812785,9287,10950,7.245243787765503
0.3,0.7,gpt-3.5-turbo-1106,5,0.7815525114155251,8558,10950,6.738958835601807
0.3,0.7,gpt-3.5-turbo-1106,10,0.8107762557077626,8878,10950,6.961987018585205
0.3,0.7,gpt-3.5-turbo-1106,40,0.8476712328767123,9282,10950,7.434418201446533
0.3,0.7,gpt-4-1106-preview,5,0.7922374429223744,8675,10950,6.9914491176605225
0.3,0.7,gpt-4-1106-preview,10,0.8198173515981735,8977,10950,6.951138734817505
0.3,0.7,gpt-4-1106-preview,40,0.853972602739726,9351,10950,7.236066102981567
0.3,0.7,meta/llama-2-70b-chat,5,0.7732420091324201,8467,10950,6.7158730030059814
0.3,0.7,meta/llama-2-70b-chat,10,0.8125114155251142,8897,10950,6.876814842224121
0.3,0.7,meta/llama-2-70b-chat,40,0.8478538812785388,9284,10950,7.262768030166626
0.3,0.7,meta/code-llama-instruct-34b-chat,5,0.7725114155251142,8459,10950,7.181554079055786
0.3,0.7,meta/code-llama-instruct-34b-chat,10,0.8094977168949772,8864,10950,7.228319883346558
0.3,0.7,meta/code-llama-instruct-34b-chat,40,0.8471232876712329,9276,10950,7.581902742385864
0.3,0.7,claude-v1,5,0.7759817351598174,8497,10950,6.7380690574646
0.3,0.7,claude-v1,10,0.8103196347031963,8873,10950,6.736407995223999
0.3,0.7,claude-v1,40,0.8489497716894977,9296,10950,6.815119981765747
0.3,0.7,claude-v2,5,0.7790867579908676,8531,10950,6.583389043807983
0.3,0.7,claude-v2,10,0.8112328767123288,8883,10950,6.9143898487091064
0.3,0.7,claude-v2,40,0.8484931506849315,9291,10950,7.274209022521973
0.5,0.5,mistralai/mistral-7b-chat,5,0.7734246575342466,8469,10950,6.6664557456970215
0.5,0.5,mistralai/mistral-7b-chat,10,0.8076712328767123,8844,10950,6.962492942810059
0.5,0.5,mistralai/mistral-7b-chat,40,0.8484018264840183,9290,10950,7.243762969970703
0.5,0.5,WizardLM/WizardLM-13B-V1.2,5,0.7738812785388128,8474,10950,6.66543984413147
0.5,0.5,WizardLM/WizardLM-13B-V1.2,10,0.811324200913242,8884,10950,6.780117034912109
0.5,0.5,WizardLM/WizardLM-13B-V1.2,40,0.8492237442922375,9299,10950,7.260663986206055
0.5,0.5,mistralai/mixtral-8x7b-chat,5,0.7781735159817351,8521,10950,6.7457499504089355
0.5,0.5,mistralai/mixtral-8x7b-chat,10,0.8101369863013699,8871,10950,6.8129730224609375
0.5,0.5,mistralai/mixtral-8x7b-chat,40,0.8499543378995433,9307,10950,7.196484804153442
0.5,0.5,zero-one-ai/Yi-34B-Chat,5,0.7899543378995434,8650,10950,6.850493907928467
0.5,0.5,zero-one-ai/Yi-34B-Chat,10,0.8246575342465754,9030,10950,6.996294975280762
0.5,0.5,zero-one-ai/Yi-34B-Chat,40,0.854337899543379,9355,10950,7.393842935562134
0.5,0.5,claude-instant-v1,5,0.7752511415525114,8489,10950,7.080010890960693
0.5,0.5,claude-instant-v1,10,0.8103196347031963,8873,10950,7.179067850112915
0.5,0.5,claude-instant-v1,40,0.8499543378995433,9307,10950,7.449095010757446
0.5,0.5,gpt-3.5-turbo-1106,5,0.7789954337899543,8530,10950,6.931708097457886
0.5,0.5,gpt-3.5-turbo-1106,10,0.8108675799086758,8879,10950,7.217167139053345
0.5,0.5,gpt-3.5-turbo-1106,40,0.8482191780821918,9288,10950,7.73170280456543
0.5,0.5,gpt-4-1106-preview,5,0.7908675799086758,8660,10950,7.0379908084869385
0.5,0.5,gpt-4-1106-preview,10,0.8193607305936073,8972,10950,7.126595973968506
0.5,0.5,gpt-4-1106-preview,40,0.8527853881278539,9338,10950,7.636213064193726
0.5,0.5,meta/llama-2-70b-chat,5,0.7740639269406393,8476,10950,6.761747121810913
0.5,0.5,meta/llama-2-70b-chat,10,0.8135159817351598,8908,10950,6.828558921813965
0.5,0.5,meta/llama-2-70b-chat,40,0.8482191780821918,9288,10950,7.236135959625244
0.5,0.5,meta/code-llama-instruct-34b-chat,5,0.7758904109589041,8496,10950,6.9354469776153564
0.5,0.5,meta/code-llama-instruct-34b-chat,10,0.8106849315068493,8877,10950,7.151968002319336
0.5,0.5,meta/code-llama-instruct-34b-chat,40,0.846027397260274,9264,10950,7.340007305145264
0.5,0.5,claude-v1,5,0.7755251141552512,8492,10950,6.723052024841309
0.5,0.5,claude-v1,10,0.8099543378995434,8869,10950,6.870227336883545
0.5,0.5,claude-v1,40,0.8487671232876712,9294,10950,7.438670873641968
0.5,0.5,claude-v2,5,0.7800913242009132,8542,10950,7.069911956787109
0.5,0.5,claude-v2,10,0.8145205479452055,8919,10950,6.9442853927612305
0.5,0.5,claude-v2,40,0.8488584474885845,9295,10950,7.363926887512207
0.7,0.3,mistralai/mistral-7b-chat,5,0.7738812785388128,8474,10950,6.675419807434082
0.7,0.3,mistralai/mistral-7b-chat,10,0.8093150684931507,8862,10950,6.962031126022339
0.7,0.3,mistralai/mistral-7b-chat,40,0.8486757990867579,9293,10950,7.321062803268433
0.7,0.3,WizardLM/WizardLM-13B-V1.2,5,0.7740639269406393,8476,10950,6.931445121765137
0.7,0.3,WizardLM/WizardLM-13B-V1.2,10,0.8074885844748858,8842,10950,6.990355968475342
0.7,0.3,WizardLM/WizardLM-13B-V1.2,40,0.8498630136986302,9306,10950,7.420777082443237
0.7,0.3,mistralai/mixtral-8x7b-chat,5,0.7727853881278539,8462,10950,6.923920154571533
0.7,0.3,mistralai/mixtral-8x7b-chat,10,0.804931506849315,8814,10950,7.039238214492798
0.7,0.3,mistralai/mixtral-8x7b-chat,40,0.8473059360730594,9278,10950,7.4971678256988525
0.7,0.3,zero-one-ai/Yi-34B-Chat,5,0.7763470319634703,8501,10950,6.898822069168091
0.7,0.3,zero-one-ai/Yi-34B-Chat,10,0.8101369863013699,8871,10950,7.0180511474609375
0.7,0.3,zero-one-ai/Yi-34B-Chat,40,0.8519634703196347,9329,10950,7.406991720199585
0.7,0.3,claude-instant-v1,5,0.7735159817351598,8470,10950,7.039743900299072
0.7,0.3,claude-instant-v1,10,0.8073059360730593,8840,10950,7.138500213623047
0.7,0.3,claude-instant-v1,40,0.8467579908675799,9272,10950,7.5909669399261475
0.7,0.3,gpt-3.5-turbo-1106,5,0.7738812785388128,8474,10950,7.125497817993164
0.7,0.3,gpt-3.5-turbo-1106,10,0.8092237442922374,8861,10950,7.092988014221191
0.7,0.3,gpt-3.5-turbo-1106,40,0.8478538812785388,9284,10950,7.664738893508911
0.7,0.3,gpt-4-1106-preview,5,0.7774429223744292,8513,10950,7.104029893875122
0.7,0.3,gpt-4-1106-preview,10,0.8149771689497717,8924,10950,7.113760948181152
0.7,0.3,gpt-4-1106-preview,40,0.8505022831050228,9313,10950,7.571215867996216
0.7,0.3,meta/llama-2-70b-chat,5,0.7741552511415525,8477,10950,6.905210733413696
0.7,0.3,meta/llama-2-70b-chat,10,0.812054794520548,8892,10950,6.964698791503906
0.7,0.3,meta/llama-2-70b-chat,40,0.8469406392694064,9274,10950,7.507092237472534
0.7,0.3,meta/code-llama-instruct-34b-chat,5,0.7744292237442922,8480,10950,6.861451148986816
0.7,0.3,meta/code-llama-instruct-34b-chat,10,0.8088584474885845,8857,10950,7.006802082061768
0.7,0.3,meta/code-llama-instruct-34b-chat,40,0.8472146118721461,9277,10950,7.5170018672943115
0.7,0.3,claude-v1,5,0.7751598173515982,8488,10950,6.912834644317627
0.7,0.3,claude-v1,10,0.808310502283105,8851,10950,8.07483434677124
0.7,0.3,claude-v1,40,0.8488584474885845,9295,10950,7.960551023483276
0.7,0.3,claude-v2,5,0.7735159817351598,8470,10950,7.07432222366333
0.7,0.3,claude-v2,10,0.8112328767123288,8883,10950,6.920080184936523
0.7,0.3,claude-v2,40,0.8464840182648402,9269,10950,7.8149309158325195
0.9,0.1,mistralai/mistral-7b-chat,5,0.7714155251141552,8447,10950,6.795500755310059
0.9,0.1,mistralai/mistral-7b-chat,10,0.8055707762557077,8821,10950,6.8553080558776855
0.9,0.1,mistralai/mistral-7b-chat,40,0.8473059360730594,9278,10950,8.011979103088379
0.9,0.1,WizardLM/WizardLM-13B-V1.2,5,0.7721461187214612,8455,10950,7.778842926025391
0.9,0.1,WizardLM/WizardLM-13B-V1.2,10,0.806392694063927,8830,10950,7.373816967010498
0.9,0.1,WizardLM/WizardLM-13B-V1.2,40,0.8478538812785388,9284,10950,7.820936918258667
0.9,0.1,mistralai/mixtral-8x7b-chat,5,0.7707762557077625,8440,10950,7.349876880645752
0.9,0.1,mistralai/mixtral-8x7b-chat,10,0.8068493150684931,8835,10950,7.3190319538116455
0.9,0.1,mistralai/mixtral-8x7b-chat,40,0.8478538812785388,9284,10950,8.143472909927368
0.9,0.1,zero-one-ai/Yi-34B-Chat,5,0.7705022831050228,8437,10950,7.2665159702301025
0.9,0.1,zero-one-ai/Yi-34B-Chat,10,0.8061187214611872,8827,10950,7.235333204269409
0.9,0.1,zero-one-ai/Yi-34B-Chat,40,0.8473059360730594,9278,10950,7.686618804931641
0.9,0.1,claude-instant-v1,5,0.7707762557077625,8440,10950,7.240654945373535
