model_name,k,accuracy,correct,total,time_sec
mistralai/mistral-7b-chat,5,0.7484931506849315,8196,10950,6.862331867218018
mistralai/mistral-7b-chat,10,0.7977168949771689,8735,10950,6.4936299324035645
mistralai/mistral-7b-chat,40,0.8417351598173516,9217,10950,6.612738847732544
WizardLM/WizardLM-13B-V1.2,5,0.7582648401826484,8303,10950,6.150140285491943
WizardLM/WizardLM-13B-V1.2,10,0.7967123287671233,8724,10950,6.172272682189941
WizardLM/WizardLM-13B-V1.2,40,0.8434703196347032,9236,10950,6.553689956665039
mistralai/mixtral-8x7b-chat,5,0.7514155251141552,8228,10950,6.612628936767578
mistralai/mixtral-8x7b-chat,10,0.7963470319634703,8720,10950,6.578763008117676
mistralai/mixtral-8x7b-chat,40,0.8411872146118722,9211,10950,6.956728935241699
zero-one-ai/Yi-34B-Chat,5,0.7545205479452055,8262,10950,6.328143835067749
zero-one-ai/Yi-34B-Chat,10,0.7957077625570776,8713,10950,6.394284009933472
zero-one-ai/Yi-34B-Chat,40,0.841917808219178,9219,10950,6.7281270027160645
claude-instant-v1,5,0.7465753424657534,8175,10950,6.307774066925049
claude-instant-v1,10,0.791324200913242,8665,10950,6.35764217376709
claude-instant-v1,40,0.8427397260273972,9228,10950,6.749457836151123
gpt-3.5-turbo-1106,5,0.7459360730593607,8168,10950,6.380729913711548
gpt-3.5-turbo-1106,10,0.7921461187214612,8674,10950,6.4226789474487305
gpt-3.5-turbo-1106,40,0.8433789954337899,9235,10950,6.76851487159729
gpt-4-1106-preview,5,0.751689497716895,8231,10950,6.338221073150635
gpt-4-1106-preview,10,0.799634703196347,8756,10950,6.3843982219696045
gpt-4-1106-preview,40,0.8391780821917808,9189,10950,6.7217700481414795
meta/llama-2-70b-chat,5,0.748310502283105,8194,10950,6.225276231765747
meta/llama-2-70b-chat,10,0.7953424657534247,8709,10950,6.264857769012451
meta/llama-2-70b-chat,40,0.8425570776255707,9226,10950,6.5986328125
meta/code-llama-instruct-34b-chat,5,0.7494977168949771,8207,10950,6.311304092407227
meta/code-llama-instruct-34b-chat,10,0.7963470319634703,8720,10950,6.292707920074463
meta/code-llama-instruct-34b-chat,40,0.84,9198,10950,6.6177098751068115
claude-v1,5,0.7496803652968037,8209,10950,6.337957143783569
claude-v1,10,0.7938812785388127,8693,10950,6.380178928375244
claude-v1,40,0.8436529680365297,9238,10950,6.744504928588867
claude-v2,5,0.754703196347032,8264,10950,6.330669641494751
claude-v2,10,0.7949771689497717,8705,10950,6.353501081466675
claude-v2,40,0.839634703196347,9194,10950,6.740447044372559
